ROW,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
122500,G29000109501001,290019501001,68,5
122501,G29000109501002,290019501002,67,5
122502,G29000109501003,290019501003,91,9
122503,G29000109502001,290019502001,93,9
122504,G29000109502002,290019502002,69,5
122505,G29000109502003,290019502003,63,4
122506,G29000109503001,290019503001,96,10
122507,G29000109503002,290019503002,96,10
122508,G29000109503003,290019503003,96,10
122509,G29000109503004,290019503004,96,10
122510,G29000109504001,290019504001,79,7
122511,G29000109504002,290019504002,77,6
122512,G29000109504003,290019504003,79,7
122513,G29000109505011,290019505011,65,4
122514,G29000109505012,290019505012,79,7
122515,G29000109505013,290019505013,69,5
122516,G29000109505021,290019505021,59,4
122517,G29000109505022,290019505022,86,8
122518,G29000109505023,290019505023,58,4
122519,G29000109509001,290019509001,94,9
122520,G29000109509002,290019509002,94,9
122521,G29000109509003,290019509003,94,9
122522,G29000109510001,290019510001,GQ,GQ
122523,G29000300101001,290030101001,45,2
122524,G29000300101002,290030101002,67,5
122525,G29000300101003,290030101003,42,2
122526,G29000300101004,290030101004,46,2
122527,G29000300102011,290030102011,75,6
122528,G29000300102012,290030102012,78,7
122529,G29000300102013,290030102013,75,6
122530,G29000300102021,290030102021,86,8
122531,G29000300102022,290030102022,67,5
122532,G29000300103001,290030103001,80,7
122533,G29000300103002,290030103002,84,8
122534,G29000300104001,290030104001,74,6
122535,G29000300104002,290030104002,66,5
122536,G29000300104003,290030104003,58,4
122537,G29000509501001,290059501001,91,9
122538,G29000509501002,290059501002,91,9
122539,G29000509501003,290059501003,91,9
122540,G29000509501004,290059501004,91,9
122541,G29000509502001,290059502001,89,8
122542,G29000509502002,290059502002,81,7
122543,G29000509502003,290059502003,87,8
122544,G29000709501001,290079501001,93,9
122545,G29000709501002,290079501002,GQ,GQ
122546,G29000709501003,290079501003,97,10
122547,G29000709502001,290079502001,83,7
122548,G29000709502002,290079502002,87,8
122549,G29000709502003,290079502003,82,7
122550,G29000709502004,290079502004,83,7
122551,G29000709502005,290079502005,83,7
122552,G29000709503001,290079503001,60,4
122553,G29000709503002,290079503002,79,7
122554,G29000709503003,290079503003,66,5
122555,G29000709504001,290079504001,93,9
122556,G29000709504002,290079504002,94,9
122557,G29000709504003,290079504003,92,9
122558,G29000709505001,290079505001,78,7
122559,G29000709505002,290079505002,81,7
122560,G29000709505003,290079505003,92,9
122561,G29000709505004,290079505004,93,9
122562,G29000709506001,290079506001,92,9
122563,G29000709506002,290079506002,73,6
122564,G29000709507001,290079507001,88,8
122565,G29000709507002,290079507002,90,9
122566,G29000709507003,290079507003,89,8
122567,G29000709507004,290079507004,89,8
122568,G29000909601011,290099601011,61,4
122569,G29000909601012,290099601012,54,3
122570,G29000909601021,290099601021,84,8
122571,G29000909601022,290099601022,89,8
122572,G29000909601023,290099601023,85,8
122573,G29000909602011,290099602011,92,9
122574,G29000909602012,290099602012,59,4
122575,G29000909602021,290099602021,57,3
122576,G29000909602022,290099602022,90,9
122577,G29000909603011,290099603011,89,8
122578,G29000909603012,290099603012,83,7
122579,G29000909603013,290099603013,92,9
122580,G29000909603014,290099603014,91,9
122581,G29000909603021,290099603021,68,5
122582,G29000909603022,290099603022,80,7
122583,G29000909604011,290099604011,88,8
122584,G29000909604012,290099604012,79,7
122585,G29000909604013,290099604013,70,5
122586,G29000909604021,290099604021,84,8
122587,G29000909604022,290099604022,75,6
122588,G29000909604023,290099604023,91,9
122589,G29000909605001,290099605001,74,6
122590,G29000909605002,290099605002,71,5
122591,G29000909605003,290099605003,81,7
122592,G29000909605004,290099605004,74,6
122593,G29000909605005,290099605005,80,7
122594,G29000909606001,290099606001,56,3
122595,G29000909606002,290099606002,58,4
122596,G29001109601001,290119601001,68,5
122597,G29001109601002,290119601002,72,5
122598,G29001109601003,290119601003,95,10
122599,G29001109602001,290119602001,67,5
122600,G29001109602002,290119602002,74,6
122601,G29001109602003,290119602003,93,9
122602,G29001109602004,290119602004,83,7
122603,G29001109603001,290119603001,93,9
122604,G29001109603002,290119603002,89,8
122605,G29001109603003,290119603003,92,9
122606,G29001109603004,290119603004,91,9
122607,G29001109603005,290119603005,93,9
122608,G29001300701001,290130701001,47,2
122609,G29001300701002,290130701002,61,4
122610,G29001300701003,290130701003,84,8
122611,G29001300702001,290130702001,64,4
122612,G29001300702002,290130702002,77,6
122613,G29001300702003,290130702003,77,6
122614,G29001300702004,290130702004,73,6
122615,G29001300703001,290130703001,97,10
122616,G29001300703002,290130703002,85,8
122617,G29001300703003,290130703003,68,5
122618,G29001300703004,290130703004,97,10
122619,G29001300704001,290130704001,49,3
122620,G29001300704002,290130704002,96,10
122621,G29001300704003,290130704003,97,10
122622,G29001504601001,290154601001,76,6
122623,G29001504601002,290154601002,78,7
122624,G29001504601003,290154601003,85,8
122625,G29001504602001,290154602001,81,7
122626,G29001504602002,290154602002,83,7
122627,G29001504603001,290154603001,80,7
122628,G29001504603002,290154603002,89,8
122629,G29001504603003,290154603003,62,4
122630,G29001504603004,290154603004,67,5
122631,G29001504604001,290154604001,66,5
122632,G29001504604002,290154604002,90,9
122633,G29001504604003,290154604003,81,7
122634,G29001504607011,290154607011,77,6
122635,G29001504607012,290154607012,70,5
122636,G29001504607021,290154607021,83,7
122637,G29001504608011,290154608011,79,7
122638,G29001504608012,290154608012,79,7
122639,G29001504608021,290154608021,83,7
122640,G29001504608022,290154608022,83,7
122641,G29001709501001,290179501001,75,6
122642,G29001709501002,290179501002,75,6
122643,G29001709501003,290179501003,75,6
122644,G29001709501004,290179501004,75,6
122645,G29001709502001,290179502001,85,8
122646,G29001709502002,290179502002,90,9
122647,G29001709502003,290179502003,78,7
122648,G29001709502004,290179502004,94,9
122649,G29001709503001,290179503001,86,8
122650,G29001709503002,290179503002,89,8
122651,G29001709503003,290179503003,88,8
122652,G29001900002001,290190002001,92,9
122653,G29001900002002,290190002002,93,9
122654,G29001900003001,290190003001,76,6
122655,G29001900003002,290190003002,76,6
122656,G29001900003003,290190003003,76,6
122657,G29001900005001,290190005001,GQ,GQ
122658,G29001900005002,290190005002,70,5
122659,G29001900005003,290190005003,71,5
122660,G29001900006001,290190006001,45,2
122661,G29001900006002,290190006002,38,2
122662,G29001900006003,290190006003,49,3
122663,G29001900006004,290190006004,44,2
122664,G29001900007001,290190007001,85,8
122665,G29001900007002,290190007002,76,6
122666,G29001900007003,290190007003,81,7
122667,G29001900009001,290190009001,87,8
122668,G29001900009002,290190009002,88,8
122669,G29001900010011,290190010011,53,3
122670,G29001900010012,290190010012,53,3
122671,G29001900010013,290190010013,53,3
122672,G29001900010014,290190010014,53,3
122673,G29001900010015,290190010015,GQ,GQ
122674,G29001900010031,290190010031,72,5
122675,G29001900010032,290190010032,77,6
122676,G29001900010041,290190010041,80,7
122677,G29001900010042,290190010042,76,6
122678,G29001900010043,290190010043,74,6
122679,G29001900011051,290190011051,76,6
122680,G29001900011052,290190011052,76,6
122681,G29001900011053,290190011053,76,6
122682,G29001900011054,290190011054,76,6
122683,G29001900011061,290190011061,64,4
122684,G29001900011062,290190011062,64,4
122685,G29001900011063,290190011063,64,4
122686,G29001900011064,290190011064,64,4
122687,G29001900011071,290190011071,21,1
122688,G29001900011072,290190011072,79,7
122689,G29001900011073,290190011073,39,2
122690,G29001900011081,290190011081,41,2
122691,G29001900011082,290190011082,55,3
122692,G29001900011083,290190011083,48,2
122693,G29001900011091,290190011091,42,2
122694,G29001900011092,290190011092,42,2
122695,G29001900011093,290190011093,42,2
122696,G29001900011094,290190011094,42,2
122697,G29001900011101,290190011101,23,1
122698,G29001900011102,290190011102,40,2
122699,G29001900011103,290190011103,23,1
122700,G29001900012011,290190012011,65,4
122701,G29001900012012,290190012012,41,2
122702,G29001900012013,290190012013,36,1
122703,G29001900012014,290190012014,47,2
122704,G29001900012021,290190012021,44,2
122705,G29001900012022,290190012022,42,2
122706,G29001900012023,290190012023,62,4
122707,G29001900012024,290190012024,26,1
122708,G29001900013001,290190013001,77,6
122709,G29001900013002,290190013002,71,5
122710,G29001900013003,290190013003,67,5
122711,G29001900014011,290190014011,48,2
122712,G29001900014012,290190014012,65,4
122713,G29001900014013,290190014013,51,3
122714,G29001900014021,290190014021,61,4
122715,G29001900014022,290190014022,76,6
122716,G29001900014023,290190014023,69,5
122717,G29001900014024,290190014024,60,4
122718,G29001900015031,290190015031,58,4
122719,G29001900015032,290190015032,87,8
122720,G29001900015033,290190015033,79,7
122721,G29001900015051,290190015051,90,9
122722,G29001900015052,290190015052,90,9
122723,G29001900015061,290190015061,80,7
122724,G29001900015062,290190015062,74,6
122725,G29001900015071,290190015071,71,5
122726,G29001900015072,290190015072,65,4
122727,G29001900015073,290190015073,56,3
122728,G29001900015081,290190015081,63,4
122729,G29001900015082,290190015082,75,6
122730,G29001900015083,290190015083,58,4
122731,G29001900015084,290190015084,58,4
122732,G29001900016021,290190016021,27,1
122733,G29001900016022,290190016022,20,1
122734,G29001900016023,290190016023,68,5
122735,G29001900016031,290190016031,66,5
122736,G29001900016032,290190016032,66,5
122737,G29001900016033,290190016033,67,5
122738,G29001900016041,290190016041,76,6
122739,G29001900016042,290190016042,73,6
122740,G29001900017021,290190017021,31,1
122741,G29001900017022,290190017022,37,2
122742,G29001900017023,290190017023,32,1
122743,G29001900017031,290190017031,47,2
122744,G29001900017032,290190017032,55,3
122745,G29001900017041,290190017041,36,1
122746,G29001900017042,290190017042,39,2
122747,G29001900018031,290190018031,59,4
122748,G29001900018032,290190018032,34,1
122749,G29001900018033,290190018033,51,3
122750,G29001900018061,290190018061,58,4
122751,G29001900018062,290190018062,46,2
122752,G29001900018063,290190018063,15,1
122753,G29001900018071,290190018071,49,3
122754,G29001900018072,290190018072,38,2
122755,G29001900019011,290190019011,52,3
122756,G29001900019012,290190019012,53,3
122757,G29001900019013,290190019013,51,3
122758,G29001900019031,290190019031,55,3
122759,G29001900019032,290190019032,68,5
122760,G29001900019033,290190019033,66,5
122761,G29001900019041,290190019041,79,7
122762,G29001900019042,290190019042,71,5
122763,G29001900019043,290190019043,55,3
122764,G29001900020001,290190020001,86,8
122765,G29001900020002,290190020002,77,6
122766,G29001900020003,290190020003,75,6
122767,G29001900020004,290190020004,71,5
122768,G29001900021001,290190021001,92,9
122769,G29001900021002,290190021002,93,9
122770,G29001900021003,290190021003,93,9
122771,G29001900022001,290190022001,GQ-PH,GQ-PH
122772,G29001900022002,290190022002,GQ,GQ
122773,G29001900022003,290190022003,GQ-PH,GQ-PH
122774,G29001900022004,290190022004,GQ,GQ
122775,G29002100001001,290210001001,26,1
122776,G29002100001002,290210001002,47,2
122777,G29002100001003,290210001003,51,3
122778,G29002100002001,290210002001,65,4
122779,G29002100002002,290210002002,57,3
122780,G29002100002003,290210002003,80,7
122781,G29002100003001,290210003001,96,10
122782,G29002100003002,290210003002,80,7
122783,G29002100004001,290210004001,90,9
122784,G29002100004002,290210004002,95,10
122785,G29002100005001,290210005001,73,6
122786,G29002100005002,290210005002,64,4
122787,G29002100005003,290210005003,87,8
122788,G29002100006001,290210006001,67,5
122789,G29002100006002,290210006002,69,5
122790,G29002100006003,290210006003,GQ,GQ
122791,G29002100007011,290210007011,50,3
122792,G29002100007012,290210007012,57,3
122793,G29002100007013,290210007013,GQ,GQ
122794,G29002100007014,290210007014,77,6
122795,G29002100007021,290210007021,62,4
122796,G29002100007022,290210007022,81,7
122797,G29002100007023,290210007023,72,5
122798,G29002100009001,290210009001,83,7
122799,G29002100009002,290210009002,86,8
122800,G29002100009003,290210009003,86,8
122801,G29002100009004,290210009004,83,7
122802,G29002100009005,290210009005,87,8
122803,G29002100010001,290210010001,99,10
122804,G29002100010002,290210010002,100,10
122805,G29002100010003,290210010003,99,10
122806,G29002100011001,290210011001,80,7
122807,G29002100011002,290210011002,98,10
122808,G29002100011003,290210011003,98,10
122809,G29002100012001,290210012001,95,10
122810,G29002100012002,290210012002,99,10
122811,G29002100015001,290210015001,88,8
122812,G29002100015002,290210015002,86,8
122813,G29002100015003,290210015003,87,8
122814,G29002100015004,290210015004,90,9
122815,G29002100015005,290210015005,89,8
122816,G29002100016001,290210016001,93,9
122817,G29002100016002,290210016002,87,8
122818,G29002100016003,290210016003,86,8
122819,G29002100017001,290210017001,91,9
122820,G29002100017002,290210017002,78,7
122821,G29002100018001,290210018001,83,7
122822,G29002100018002,290210018002,78,7
122823,G29002100018003,290210018003,86,8
122824,G29002100021001,290210021001,85,8
122825,G29002100021002,290210021002,96,10
122826,G29002100021003,290210021003,96,10
122827,G29002100022001,290210022001,53,3
122828,G29002100023001,290210023001,79,7
122829,G29002100023002,290210023002,82,7
122830,G29002100024001,290210024001,95,10
122831,G29002100024002,290210024002,94,9
122832,G29002100025001,290210025001,93,9
122833,G29002100025002,290210025002,94,9
122834,G29002100025003,290210025003,94,9
122835,G29002100027001,290210027001,50,3
122836,G29002100027002,290210027002,41,2
122837,G29002100028001,290210028001,46,2
122838,G29002100028002,290210028002,39,2
122839,G29002100028003,290210028003,52,3
122840,G29002100028004,290210028004,46,2
122841,G29002100028005,290210028005,68,5
122842,G29002100029001,290210029001,87,8
122843,G29002100029002,290210029002,76,6
122844,G29002100029003,290210029003,78,7
122845,G29002100030011,290210030011,98,10
122846,G29002100030012,290210030012,99,10
122847,G29002100030013,290210030013,98,10
122848,G29002100030021,290210030021,93,9
122849,G29002100030022,290210030022,93,9
122850,G29002309501011,290239501011,76,6
122851,G29002309501012,290239501012,67,5
122852,G29002309501021,290239501021,77,6
122853,G29002309501022,290239501022,86,8
122854,G29002309502011,290239502011,72,6
122855,G29002309502012,290239502012,70,5
122856,G29002309502013,290239502013,72,6
122857,G29002309502014,290239502014,72,6
122858,G29002309502021,290239502021,80,7
122859,G29002309502022,290239502022,81,7
122860,G29002309502023,290239502023,80,7
122861,G29002309502024,290239502024,79,7
122862,G29002309503011,290239503011,79,7
122863,G29002309503012,290239503012,79,7
122864,G29002309503013,290239503013,79,7
122865,G29002309503021,290239503021,86,8
122866,G29002309503022,290239503022,86,8
122867,G29002309503023,290239503023,86,8
122868,G29002309504001,290239504001,93,9
122869,G29002309504002,290239504002,93,9
122870,G29002309504003,290239504003,93,9
122871,G29002309504004,290239504004,93,9
122872,G29002309505001,290239505001,99,10
122873,G29002309505002,290239505002,99,10
122874,G29002309505003,290239505003,100,10
122875,G29002309506001,290239506001,92,9
122876,G29002309506002,290239506002,89,8
122877,G29002309506003,290239506003,93,9
122878,G29002309506004,290239506004,94,9
122879,G29002309507001,290239507001,98,10
122880,G29002309507002,290239507002,99,10
122881,G29002309507003,290239507003,98,10
122882,G29002309508001,290239508001,92,9
122883,G29002309508002,290239508002,67,5
122884,G29002309508003,290239508003,98,10
122885,G29002309509001,290239509001,85,8
122886,G29002309509002,290239509002,85,8
122887,G29002309509003,290239509003,94,9
122888,G29002309509004,290239509004,98,10
122889,G29002509501001,290259501001,83,7
122890,G29002509501002,290259501002,95,10
122891,G29002509501003,290259501003,86,8
122892,G29002509501004,290259501004,92,9
122893,G29002509502011,290259502011,80,7
122894,G29002509502012,290259502012,67,5
122895,G29002509502013,290259502013,62,4
122896,G29002509502021,290259502021,71,5
122897,G29002509502022,290259502022,79,7
122898,G29002509502023,290259502023,84,8
122899,G29002700701001,290270701001,72,6
122900,G29002700701002,290270701002,66,5
122901,G29002700701003,290270701003,66,5
122902,G29002700701004,290270701004,84,8
122903,G29002700702001,290270702001,75,6
122904,G29002700702002,290270702002,71,5
122905,G29002700702003,290270702003,73,6
122906,G29002700702004,290270702004,71,5
122907,G29002700703011,290270703011,79,7
122908,G29002700703012,290270703012,GQ,GQ
122909,G29002700703021,290270703021,64,4
122910,G29002700703022,290270703022,GQ,GQ
122911,G29002700703023,290270703023,82,7
122912,G29002700704001,290270704001,98,10
122913,G29002700704002,290270704002,GQ,GQ
122914,G29002700704003,290270704003,87,8
122915,G29002700704004,290270704004,94,9
122916,G29002700704005,290270704005,89,8
122917,G29002700705001,290270705001,64,4
122918,G29002700705002,290270705002,58,4
122919,G29002700705003,290270705003,59,4
122920,G29002700705004,290270705004,63,4
122921,G29002700706011,290270706011,68,5
122922,G29002700706012,290270706012,59,4
122923,G29002700706021,290270706021,63,4
122924,G29002700706022,290270706022,58,4
122925,G29002700706023,290270706023,71,5
122926,G29002700707011,290270707011,58,4
122927,G29002700707021,290270707021,57,3
122928,G29002700707022,290270707022,59,4
122929,G29002700708001,290270708001,69,5
122930,G29002700708002,290270708002,53,3
122931,G29002700708003,290270708003,66,5
122932,G29002909501011,290299501011,38,2
122933,G29002909501021,290299501021,32,1
122934,G29002909502011,290299502011,55,3
122935,G29002909502012,290299502012,57,3
122936,G29002909502013,290299502013,56,3
122937,G29002909502021,290299502021,28,1
122938,G29002909502022,290299502022,55,3
122939,G29002909502023,290299502023,44,2
122940,G29002909503011,290299503011,47,2
122941,G29002909503012,290299503012,48,2
122942,G29002909503021,290299503021,53,3
122943,G29002909504011,290299504011,60,4
122944,G29002909504021,290299504021,56,3
122945,G29002909504022,290299504022,66,5
122946,G29002909505001,290299505001,79,7
122947,G29002909505002,290299505002,74,6
122948,G29002909505003,290299505003,78,7
122949,G29002909506001,290299506001,54,3
122950,G29002909506002,290299506002,68,5
122951,G29002909506003,290299506003,30,1
122952,G29002909506004,290299506004,46,2
122953,G29002909507011,290299507011,51,3
122954,G29002909507012,290299507012,45,2
122955,G29002909507013,290299507013,44,2
122956,G29002909507014,290299507014,55,3
122957,G29002909507021,290299507021,64,4
122958,G29002909508011,290299508011,67,5
122959,G29002909508012,290299508012,85,8
122960,G29002909508013,290299508013,75,6
122961,G29002909508021,290299508021,67,5
122962,G29002909508022,290299508022,62,4
122963,G29002909508023,290299508023,64,4
122964,G29002909509001,290299509001,81,7
122965,G29002909509002,290299509002,84,8
122966,G29002909511011,290299511011,33,1
122967,G29002909511021,290299511021,40,2
122968,G29002909511022,290299511022,39,2
122969,G29002909512011,290299512011,49,3
122970,G29002909512012,290299512012,54,3
122971,G29002909512021,290299512021,59,4
122972,G29003108801001,290318801001,55,3
122973,G29003108801002,290318801002,65,4
122974,G29003108801003,290318801003,56,3
122975,G29003108801004,290318801004,61,4
122976,G29003108801005,290318801005,61,4
122977,G29003108802001,290318802001,70,5
122978,G29003108802002,290318802002,52,3
122979,G29003108802003,290318802003,83,7
122980,G29003108803001,290318803001,56,3
122981,G29003108803002,290318803002,73,6
122982,G29003108803003,290318803003,86,8
122983,G29003108803004,290318803004,73,6
122984,G29003108804011,290318804011,49,3
122985,G29003108804012,290318804012,57,3
122986,G29003108804013,290318804013,52,3
122987,G29003108804021,290318804021,65,4
122988,G29003108804022,290318804022,80,7
122989,G29003108805011,290318805011,66,5
122990,G29003108805012,290318805012,56,3
122991,G29003108805013,290318805013,62,4
122992,G29003108805021,290318805021,43,2
122993,G29003108805022,290318805022,76,6
122994,G29003108805023,290318805023,47,2
122995,G29003108806001,290318806001,52,3
122996,G29003108806002,290318806002,64,4
122997,G29003108806003,290318806003,54,3
122998,G29003108806004,290318806004,48,2
122999,G29003108806005,290318806005,47,2
